Date,Open,High,Low,Close,Vol.,Change %,sent_score,sent-1,sent-3,sent-7,Close+1,Close+3,Close+7
2022-08-21,21138.9,21692.4,21077.4,21517.2,177520000.0,1.79,-0.03333333333333333,0.08,-0.1271794871794872,-0.09009222919937206,21416.3,21365.2,19550.2
2022-08-22,21516.8,21517.4,20912.1,21416.3,251830000.0,-0.47,-0.28125,-0.03333333333333333,-0.08444444444444447,-0.13771127681841966,21517.2,21565.4,20295.8
2022-08-23,21416.5,21661.0,20919.6,21517.2,228650000.0,0.47,-0.07619047619047618,-0.28125,-0.07819444444444447,-0.15033882783882782,21365.2,20249.9,19792.6
2022-08-24,21516.2,21832.3,21171.1,21365.2,202400000.0,-0.71,-0.07058823529411765,-0.07619047619047618,-0.13025793650793654,-0.1317588958660387,21565.4,20033.9,20043.9
2022-08-25,21365.4,21801.2,21324.8,21565.4,190150000.0,0.94,-0.027777777777777776,-0.07058823529411765,-0.1426762371615313,-0.12041435805091268,20249.9,19550.2,20126.1
2022-08-26,21564.2,21815.3,20122.4,20249.9,322160000.0,-6.1,-0.13157894736842105,-0.027777777777777776,-0.05818549642079057,-0.10130568894224355,20033.9,20295.8,19952.7
2022-08-27,20249.9,20343.6,19849.8,20033.9,187340000.0,-1.07,-0.2,-0.13157894736842105,-0.0766483201467722,-0.0772455385663037,19550.2,19792.6,19831.4
2022-08-28,20034.2,20150.8,19542.9,19550.2,159600000.0,-2.41,-0.049999999999999996,-0.2,-0.11978557504873298,-0.1172455385663037,20295.8,20043.9,19999.9
2022-08-29,19551.3,20394.5,19551.2,20295.8,248040000.0,3.81,-0.19999999999999998,-0.049999999999999996,-0.12719298245614039,-0.11962649094725608,19792.6,20126.1,19793.1
2022-08-30,20295.6,20558.2,19559.7,19792.6,308410000.0,-2.48,-0.09285714285714285,-0.19999999999999998,-0.15000000000000002,-0.10801934809011324,20043.9,19952.7,18786.4
2022-08-31,19793.4,20469.1,19793.4,20043.9,318170000.0,1.27,-0.029999999999999992,-0.09285714285714285,-0.11428571428571431,-0.11040030047106561,20126.1,19831.4,19281.5
2022-09-01,20049.9,20202.7,19584.4,20126.1,275080000.0,0.41,-0.15333333333333332,-0.029999999999999992,-0.10761904761904766,-0.10460198114333452,19952.7,19999.9,19317.4
2022-09-02,20131.6,20428.2,19764.7,19952.7,272220000.0,-0.86,-0.047058823529411764,-0.15333333333333332,-0.09206349206349208,-0.12253848907984244,19831.4,19793.1,21365.2
2022-09-03,19952.8,20043.8,19660.7,19831.4,157850000.0,-0.61,-0.125,-0.047058823529411764,-0.07679738562091505,-0.1104641856742697,19999.9,18786.4,21650.4
2022-09-04,19832.2,20017.8,19594.7,19999.9,158270000.0,0.85,0.0,-0.125,-0.10846405228758173,-0.09974989995998397,19793.1,19281.5,21834.9
2022-09-05,19999.9,20042.9,19650.7,19793.1,238710000.0,-1.03,-0.09999999999999999,0.0,-0.05735294117647063,-0.09260704281712684,18786.4,19317.4,22395.3
2022-09-06,19793.4,20169.3,18723.3,18786.4,402430000.0,-5.09,-0.16666666666666666,-0.09999999999999999,-0.07500000000000002,-0.07832132853141256,19281.5,21365.2,20175.5
2022-09-07,18786.3,19445.9,18548.4,19281.5,319100000.0,2.64,-0.17368421052631577,-0.16666666666666666,-0.08888888888888892,-0.08886554621848738,19317.4,21650.4,20222.5
2022-09-08,19281.5,19444.7,19034.5,19317.4,291430000.0,0.19,-0.10666666666666667,-0.17368421052631577,-0.14678362573099418,-0.10939186200796105,21365.2,21834.9,19701.7
2022-09-09,19318.8,21545.7,19294.1,21365.2,480370000.0,10.6,0.06428571428571428,-0.10666666666666667,-0.14900584795321642,-0.1027251953412944,21650.4,22395.3,19802.4
2022-09-10,21363.8,21790.6,21139.9,21650.4,331120000.0,1.33,-0.19999999999999998,0.06428571428571428,-0.07202172096908943,-0.0868188327962764,21834.9,20175.5,20113.5
2022-09-11,21650.4,21836.4,21363.0,21834.9,297120000.0,0.85,0.1,-0.19999999999999998,-0.08079365079365082,-0.09753311851056211,22395.3,20222.5,19418.8
2022-09-12,21836.6,22465.4,21581.6,22395.3,431980000.0,2.57,-0.07142857142857142,0.1,-0.011904761904761927,-0.08324740422484782,20175.5,19701.7,19538.9
2022-09-13,22395.3,22702.5,19909.6,20175.5,485320000.0,-9.91,-0.009523809523809525,-0.07142857142857142,-0.05714285714285716,-0.0791657715717866,20222.5,19802.4,18872.4
2022-09-14,20175.5,20503.700000000004,19654.2,20222.5,374220000.0,0.23,-0.23846153846153847,-0.009523809523809525,0.00634920634920632,-0.05671679197994987,19701.7,20113.5,18489.0
2022-09-15,20222.299999999996,20321.4,19532.3,19701.7,358420000.0,-2.58,0.015384615384615382,-0.23846153846153847,-0.1064713064713065,-0.06597069597069596,19802.4,19418.8,19404.0
2022-09-16,19701.9,19883.0,19352.9,19802.4,315590000.0,0.51,-0.08124999999999999,0.015384615384615382,-0.07753357753357758,-0.04853479853479852,20113.5,19538.9,19293.5
2022-09-17,19802.8,20178.6,19761.0,20113.5,204580000.0,1.57,-0.3,-0.08124999999999999,-0.10144230769230773,-0.06932561486132913,19418.8,18872.4,18925.2
2022-09-18,20113.9,20113.9,19347.7,19418.8,273110000.0,-3.4500000000000006,-0.2333333333333333,-0.3,-0.12195512820512822,-0.08361132914704342,19538.9,18489.0,18803.2
2022-09-19,19417.4,19666.6,18277.8,19538.9,423430000.0,0.62,-0.19333333333333333,-0.2333333333333333,-0.20486111111111113,-0.13123037676609103,18872.4,19404.0,19225.7
2022-09-20,19538.9,19626.3,18742.6,18872.4,361180000.0,-3.41,0.037500000000000006,-0.19333333333333333,-0.24222222222222226,-0.1486453427524856,18489.0,19293.5,19081.0
2022-09-21,18875.1,19758.4,18191.8,18489.0,446850000.0,-2.03,-0.06956521739130435,0.037500000000000006,-0.1297222222222222,-0.14192765567765567,19404.0,18925.2,19411.0
2022-09-22,18488.1,19490.9,18371.0,19404.0,448630000.0,4.950000000000001,-0.13076923076923078,-0.06956521739130435,-0.07513285024154591,-0.11779960981047935,19293.5,18803.2,19593.0
2022-09-23,19404.1,19477.3,18554.8,19293.5,431150000.0,-0.57,-0.10769230769230768,-0.13076923076923078,-0.05427814938684506,-0.13867873068960024,18925.2,19225.7,19423.0
2022-09-24,19288.4,19310.6,18812.0,18925.2,258500000.0,-1.91,0.09999999999999999,-0.10769230769230768,-0.10267558528428096,-0.14245620321707278,18803.2,19081.0,19311.9
2022-09-25,18925.1,19125.1,18659.6,18803.2,209710000.0,-0.64,-0.15000000000000002,0.09999999999999999,-0.046153846153846184,-0.08531334607421562,19225.7,19411.0,19052.2
2022-09-26,18803.1,19304.8,18695.2,19225.7,516030000.0,2.25,-0.13846153846153847,-0.15000000000000002,-0.05256410256410259,-0.07340858416945373,19081.0,19593.0,19628.3
2022-09-27,19228.8,20361.2,18850.4,19081.0,660120000.0,-0.75,-0.11499999999999999,-0.13846153846153847,-0.06282051282051286,-0.0655697563306259,19411.0,19423.0,20340.2
2022-09-28,19083.4,19757.8,18505.3,19411.0,581190000.0,1.73,-0.03333333333333333,-0.11499999999999999,-0.1344871794871795,-0.08735547061634018,19593.0,19311.9,20157.5
2022-09-29,19420.2,19631.5,18877.9,19593.0,449570000.0,0.94,-0.11176470588235293,-0.03333333333333333,-0.09559829059829061,-0.08217948717948718,19423.0,19052.2,19956.7
2022-09-30,19593.4,20174.9,19208.9,19423.0,490290000.0,-0.87,-0.049999999999999996,-0.11176470588235293,-0.08669934640522876,-0.07946455505279035,19311.9,19628.3,19531.3
2022-10-01,19422.9,19480.3,19172.6,19311.9,173910000.0,-0.57,-0.1,-0.049999999999999996,-0.0650326797385621,-0.0712227968110321,19052.2,20340.2,19415.0
2022-10-02,19311.9,19389.9,18937.3,19052.2,222820000.0,-1.34,-0.2333333333333333,-0.1,-0.08725490196078434,-0.09979422538246066,19628.3,20157.5,19441.0
2022-10-03,19057.6,19676.0,19001.3,19628.3,333030000.0,3.02,0.05,-0.2333333333333333,-0.1277777777777778,-0.11169898728722256,20340.2,19956.7,19134.6
2022-10-04,19629.7,20436.1,19506.4,20340.2,368170000.0,3.63,-0.04375,0.05,-0.09444444444444446,-0.08477591036414565,20157.5,19531.3,19059.1
2022-10-05,20340.5,20353.8,19761.7,20157.5,352760000.0,-0.9,-0.05,-0.04375,-0.07569444444444445,-0.07459733893557421,19956.7,19415.0,19154.8
2022-10-06,20157.5,20436.7,19873.7,19956.7,370600000.0,-1.0,0.020000000000000007,-0.05,-0.014583333333333351,-0.07697829131652659,19531.3,19441.0,19379.8
2022-10-07,19962.4,20051.4,19352.1,19531.3,263500000.0,-2.13,-0.09375,0.020000000000000007,-0.02458333333333335,-0.05815476190476189,19415.0,19134.6,19181.8
2022-10-08,19530.2,19612.2,19274.7,19415.0,113500000.0,-0.6,-0.13999999999999999,-0.09375,-0.041250000000000016,-0.06440476190476188,19441.0,19059.1,19068.7
2022-10-09,19416.3,19552.1,19329.6,19441.0,127530000.0,0.13,-0.3,-0.13999999999999999,-0.07125000000000002,-0.07011904761904761,19134.6,19154.8,19261.9
2022-10-10,19441.7,19520.7,19057.0,19134.6,243770000.0,-1.58,-0.09,-0.3,-0.17791666666666664,-0.07964285714285713,19059.1,19379.8,19548.2
2022-10-11,19134.3,19261.3,18868.7,19059.1,288570000.0,-0.39,-0.10588235294117646,-0.09,-0.17666666666666667,-0.09964285714285713,19154.8,19181.8,19328.2
2022-10-12,19058.5,19212.6,19010.6,19154.8,242180000.0,0.5,-0.11428571428571428,-0.10588235294117646,-0.1652941176470588,-0.1085189075630252,19379.8,19068.7,19123.9
2022-10-13,19154.6,19494.4,18207.9,19379.8,455130000.0,1.17,-0.10625000000000001,-0.11428571428571428,-0.1033893557422969,-0.11770258103241295,19181.8,19261.9,19042.9
2022-10-14,19379.8,19933.9,19098.6,19181.8,400450000.0,-1.02,0.005263157894736844,-0.10625000000000001,-0.10880602240896359,-0.13573829531812723,19068.7,19548.2,19162.6
2022-10-15,19181.7,19218.7,19000.8,19068.7,123660000.0,-0.59,-0.16666666666666666,0.005263157894736844,-0.07175751879699248,-0.12159355847602196,19261.9,19328.2,19204.8
2022-10-16,19068.8,19411.9,19066.0,19261.9,140950000.0,1.01,-0.03333333333333333,-0.16666666666666666,-0.08921783625730995,-0.1254030822855458,19548.2,19123.9,19571.2
2022-10-17,19262.2,19663.5,19163.6,19548.2,248400000.0,1.49,-0.07142857142857142,-0.03333333333333333,-0.06491228070175438,-0.0873078441903077,19328.2,19042.9,19331.5
2022-10-18,19548.4,19692.9,19102.8,19328.2,290070000.0,-1.13,-0.02857142857142858,-0.07142857142857142,-0.09047619047619045,-0.0846547829658179,19123.9,19162.6,20082.7
2022-10-19,19328.2,19358.6,19101.2,19123.9,209280000.0,-1.06,-0.14444444444444446,-0.02857142857142858,-0.04444444444444443,-0.07361036519871104,19042.9,19204.8,20769.5
2022-10-20,19125.1,19334.5,18935.6,19042.9,253200000.0,-0.42,0.017647058823529415,-0.14444444444444446,-0.08148148148148147,-0.07791875522138679,19162.6,19571.2,20292.9
2022-10-21,19042.9,19245.5,18703.3,19162.6,294660000.0,0.63,-0.05714285714285715,0.017647058823529415,-0.0517896047307812,-0.060219175389454024,19204.8,19331.5,20594.4
